,quality_score,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Processing Method,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Category Two Defects,Temperature (F)
124,80.25,Brazil,7.17,7.33,7.42,7.08,Natural / Dry,7.0,7.0,10.0,10.0,10.0,7.25,0.11,0,1,77.90873346153846
125,80.08,Brazil,7.17,7.17,7.0,7.17,Pulped natural / honey,7.25,7.25,10.0,10.0,10.0,7.08,0.11,0,5,77.90873346153846
126,78.42,Brazil,6.83,7.0,6.92,7.08,Natural / Dry,6.92,6.83,10.0,10.0,10.0,6.83,0.12,3,4,77.90873346153846
127,77.83,Brazil,7.0,6.75,6.67,6.83,Washed / Wet,7.08,6.83,10.0,10.0,10.0,6.67,0.11,0,2,77.90873346153846
128,77.33,Brazil,7.5,7.33,7.42,7.58,Natural / Dry,7.58,6.92,8.0,8.0,10.0,7.0,0.0,0,3,77.90873346153846
129,75.67,Brazil,7.17,7.0,6.83,7.5,Natural / Dry,7.17,7.0,8.0,8.0,10.0,7.0,0.11,0,6,77.90873346153846
130,73.5,Brazil,7.25,6.58,6.58,7.0,,7.0,6.42,8.0,8.0,10.0,6.67,0.11,0,0,77.90873346153846
131,70.67,Brazil,7.0,7.0,6.83,7.0,Natural / Dry,7.33,6.83,6.0,6.0,10.0,6.67,0.11,0,55,77.90873346153846
132,83.33,Burundi,7.75,7.67,7.33,7.5,Washed / Wet,7.5,7.75,10.0,10.0,10.0,7.83,0.0,0,5,69.58442692307692
133,80.33,Burundi,7.08,7.25,7.17,7.33,,7.08,7.08,10.0,10.0,10.0,7.33,0.12,0,0,69.58442692307692
134,87.25,China,8.42,8.25,8.08,8.17,Washed / Wet,7.92,8.0,10.0,10.0,10.0,8.42,0.1,0,0,44.67079740384615
135,85.33,China,8.0,8.0,8.0,7.83,Natural / Dry,7.83,7.75,10.0,10.0,10.0,7.92,0.1,0,0,44.67079740384615
136,84.5,China,7.75,7.92,7.67,7.83,Washed / Wet,7.75,7.67,10.0,10.0,10.0,7.92,0.1,0,1,44.67079740384615
137,84.5,China,7.67,8.0,7.75,7.83,Washed / Wet,7.75,7.58,10.0,10.0,10.0,7.92,0.0,0,2,44.67079740384615
138,84.25,China,7.83,7.83,7.58,7.75,Natural / Dry,7.75,7.75,10.0,10.0,10.0,7.75,0.1,0,1,44.67079740384615
139,83.75,China,7.83,7.75,7.67,7.5,Washed / Wet,7.58,7.67,10.0,10.0,10.0,7.75,0.1,0,2,44.67079740384615
140,83.58,China,7.67,7.58,7.58,7.58,Washed / Wet,7.67,7.75,10.0,10.0,10.0,7.75,0.1,0,4,44.67079740384615
141,83.17,China,7.5,7.67,7.33,7.67,Washed / Wet,7.67,7.67,10.0,10.0,10.0,7.67,0.11,0,0,44.67079740384615
142,83.17,China,7.67,7.67,7.5,7.67,Washed / Wet,7.42,7.58,10.0,10.0,10.0,7.67,0.1,0,3,44.67079740384615
143,82.75,China,7.67,7.5,7.33,7.33,Natural / Dry,7.67,7.67,10.0,10.0,10.0,7.58,0.1,0,0,44.67079740384615
144,82.75,China,7.5,7.67,7.42,7.67,Washed / Wet,7.5,7.5,10.0,10.0,10.0,7.5,0.11,0,2,44.67079740384615
145,82.42,China,7.67,7.42,7.42,7.5,Washed / Wet,7.42,7.42,10.0,10.0,10.0,7.58,0.1,0,0,44.67079740384615
146,82.33,China,7.5,7.58,7.42,7.5,Pulped natural / honey,7.42,7.42,10.0,10.0,10.0,7.5,0.12,0,2,44.67079740384615
